Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0LtcuQeEeJx7e7n6QiF8mR,"The Blyat Mobile","The Blyat Mobile","NØRSKOV;Life of Boris",2017-12-12,204016,0,false,droebiepoe,2021-08-03T00:33:44Z,"","744994 Records DK",0.74,0.862,7,-7.487,1,0.0885,0.097,0.735,0.132,0.595,159.991,4
spotify:track:05IM1RHHhemt5tjvbqur7F,"Space Race","Space Race","Uamee",2018-04-08,180508,20,true,droebiepoe,2021-08-03T00:34:24Z,"","691951 Records DK",0.85,0.997,9,-3.604,1,0.319,0.183,0.0535,0.116,0.345,149.993,4
spotify:track:1J5raDS9lOP7uXQ9w3hO6J,"Potato Juice","Gopnik","DJ Blyatman",2021-02-23,186404,0,true,droebiepoe,2021-08-03T00:34:38Z,"","DJ Blyatman",0.743,0.969,2,-1.389,1,0.105,0.00306,0.171,0.0881,0.61,150.006,4
spotify:track:5dowW8qteDiAhdLJnmwHry,"Dragunov","Dragunov","DJ Blyatman",2018-10-25,220766,0,false,droebiepoe,2021-08-03T00:36:34Z,"","DJ Blyatman",0.679,0.999,9,-0.698,1,0.199,0.00447,0.855,0.248,0.499,150.019,4
spotify:track:3G9dvrxxx8QLQdO6CPZKIo,"Russia Is Rave","Hard Bass Is Back","XS Project",2018-03-11,286500,0,false,droebiepoe,2021-08-03T00:36:44Z,"","XS Project",0.697,0.862,1,-4.047,1,0.184,0.00194,0.348,0.282,0.557,149.985,4
spotify:track:27wQkHzcBll0IJ0SrT338X,"Silk Road","Silk Road","DJ Blyatman",2018-08-18,208000,0,false,droebiepoe,2021-08-03T00:38:17Z,"","DJ Blyatman",0.68,0.968,6,-1.52,1,0.281,0.0294,0.368,0.0455,0.414,150.027,4
spotify:track:6TSf16FUPMuWCfYUW5OZb7,"Lunapark","Gopnik","DJ Blyatman",2021-02-23,271483,0,false,droebiepoe,2021-08-03T00:38:25Z,"","DJ Blyatman",0.742,0.97,5,-0.611,0,0.0691,0.000952,0.858,0.0747,0.351,150.032,4
spotify:track:7zAGa8vfqPA13Q0D1LM9sS,"Vice City","Vice City","Hard Bass School;DJ Blyatman",2019-02-19,156359,34,true,droebiepoe,2021-08-12T20:17:29Z,"","DJ Blyatman",0.725,0.901,6,-1.278,1,0.0613,0.0374,0.0277,0.126,0.491,149.931,4
spotify:track:1BW2yN2OqDvWOevdkbHB9y,"How We Party","How We Party","DJ Blyatman;XS Project",2018-11-09,272000,37,true,droebiepoe,2021-08-12T20:17:58Z,"","DJ Blyatman",0.663,0.976,1,-4.063,1,0.0915,0.00463,0.0223,0.841,0.696,149.97,4
spotify:track:7HBYLapUKXGXBxIxB1qluI,"In the Hall of the Mountain King","In the Hall of the Mountain King","Deficio",2015-11-27,288809,37,false,droebiepoe,2021-08-23T15:57:13Z,"melbourne bounce","CIA Recordings",0.669,0.81,7,-6.659,1,0.183,0.00139,0.892,0.082,0.543,128.013,4
spotify:track:1CY57Jb3btf0qYXSqRC9Dm,"Adidas","Adidas","Russian Village Boys;Mr. Polska",2019-02-22,110549,45,true,droebiepoe,2025-02-16T22:04:08Z,"gabber","Pressplay Recordings",0.651,0.92,10,-3.423,0,0.0455,0.00184,0.00462,0.0824,0.379,165.072,4
spotify:track:5UdBUgpHLdaJJ5LQsIiSMB,"Vodka No Limit","Vodka No Limit","DJ Blyatman",2025-07-25,156315,32,true,droebiepoe,2025-12-15T22:54:42Z,"","WM Czech Republic",0.737,0.913,11,-3.808,1,0.0657,0.0399,0.000113,0.264,0.675,152.007,4
spotify:track:1pMO8yfxByVFAeXUVq52cc,"Our Sound","Our Sound","DJ Blyatman;Dj Pelix;Xek",2019-04-12,183645,36,true,droebiepoe,2025-12-15T22:59:29Z,"","DJ Blyatman",0.766,0.954,11,-5.204,1,0.0827,0.102,0.281,0.0775,0.924,150.008,4
spotify:track:5bel2ACDo3jz4XD12yUrxv,"Amphorobot","Hard Bass in da Gas Mask","XS Project;Milaxa",2020-09-21,208000,26,false,droebiepoe,2025-12-15T23:00:25Z,"","XS Project",0.658,0.956,7,-4.311,1,0.0463,0.0104,0.0464,0.0346,0.506,150.009,4
spotify:track:7gyc0A1QuRzPJFOG4w5vzR,"Hardbass Industry","Hardbass Industry","Gopnik McBlyat",2018-04-09,272817,33,false,droebiepoe,2025-12-15T23:04:28Z,"","Gopnik McBlyat",0.688,0.985,9,-4.044,1,0.155,0.0019,0.465,0.0735,0.483,154.98,4
spotify:track:3iDI7LpV38Jv6nBctYkqXD,"Skytelaget 2017","Skytelaget 2017","Gopnik McBlyat",2017-04-30,227616,30,false,droebiepoe,2025-12-15T23:08:32Z,"","Gopnik McBlyat",0.585,0.999,1,-2.915,1,0.0975,0.0355,0.37,0.147,0.503,155.018,4
