Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4zP2e2aIzOZGEFTq1MDJmm,"Lying from You","Meteora","Linkin Park",2003-03-25,175053,61,false,droebiepoe,2026-02-16T09:44:56Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.531,0.952,3,-3.361,0,0.205,0.007,0,0.0672,0.76,160.125,4
spotify:track:3R9NKZ4jmxNjOFihSF5s7f,"Hit the Floor","Meteora","Linkin Park",2003-03-25,164213,58,false,droebiepoe,2026-02-16T09:44:56Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.74,0.96,9,-3.692,1,0.193,0.063,0,0.0444,0.868,150.006,4
spotify:track:17bgialGAwoiGj1STY4cnR,"Easier to Run","Meteora","Linkin Park",2003-03-25,204173,57,false,droebiepoe,2026-02-16T09:44:56Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.546,0.861,3,-4.819,0,0.0341,0.0625,0,0.131,0.279,105.024,4
spotify:track:4Yf5bqU3NK4kNOypcrLYwU,"Faint","Meteora","Linkin Park",2003-03-25,162106,86,false,droebiepoe,2026-02-16T09:44:56Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.554,0.98,4,-3.514,1,0.108,0.127,0,0.0833,0.611,135.12,4
spotify:track:2DrMcGNKEY0FZqjMovGaCm,"Figure.09","Meteora","Linkin Park",2003-03-25,197506,61,false,droebiepoe,2026-02-16T09:44:56Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.499,0.95,9,-3.198,1,0.0639,0.00903,0,0.148,0.53,98.019,4
spotify:track:6n8TMVyFKoUmDc4apxceRD,"Breaking the Habit","Meteora","Linkin Park",2003-03-25,196133,71,false,droebiepoe,2026-02-16T09:44:56Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.58,0.865,4,-4.359,0,0.0313,0.105,0,0.106,0.587,100.016,4
spotify:track:60IkVf7UfQXmt5CwkpcX8a,"From the Inside","Meteora","Linkin Park",2003-03-25,175506,66,false,droebiepoe,2026-02-16T09:44:56Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.448,0.967,1,-2.852,0,0.0804,0.045,0,0.575,0.361,94.984,3
spotify:track:4m1P1BSg9nLxaWbvPhNdhw,"Nobody's Listening","Meteora","Linkin Park",2003-03-25,178866,56,false,droebiepoe,2026-02-16T09:44:56Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.502,0.832,6,-3.723,0,0.296,0.105,0.00000115,0.174,0.452,199.958,3
spotify:track:3sbezh9MMCQrr4KY7zw13j,"Session","Meteora","Linkin Park",2003-03-25,144733,53,false,droebiepoe,2026-02-16T09:44:56Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.573,0.961,10,-5.66,1,0.0507,0.0533,0.91,0.353,0.188,98.006,4
spotify:track:2nLtzopw4rPReszdYBJU6h,"Numb","Meteora","Linkin Park",2003-03-25,187520,88,false,droebiepoe,2026-02-16T09:44:56Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.488,0.87,6,-4.185,0,0.0421,0.00353,0,0.484,0.211,110.072,4
spotify:track:0GkuKdv0osuL9QhfnXqVNP,"Wake","Minutes to Midnight","Linkin Park",2007-05-14,100920,49,false,droebiepoe,2026-02-16T09:45:00Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.297,0.176,0,-11.93,1,0.0483,0.0645,0.798,0.416,0.185,124.851,3
spotify:track:1fLlRApgzxWweF1JTf8yM5,"Given Up","Minutes to Midnight","Linkin Park",2007-05-14,189293,82,true,droebiepoe,2026-02-16T09:45:00Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.655,0.886,7,-4.116,1,0.0435,0.00113,0.000409,0.0448,0.938,100.088,4
spotify:track:0sp00HSXkQyqTa6QqM0O8V,"Leave Out All The Rest","Minutes to Midnight","Linkin Park",2007-05-14,209306,75,false,droebiepoe,2026-02-16T09:45:00Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.514,0.637,0,-6.418,1,0.0363,0.213,0.00000227,0.389,0.18,80.401,4
spotify:track:0UFDKFqW2oGspYeYqo9wjA,"Bleed It Out","Minutes to Midnight","Linkin Park",2007-05-14,164426,82,true,droebiepoe,2026-02-16T09:45:00Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.541,0.969,11,-3.439,1,0.0458,0.113,0,0.638,0.599,140.119,4
spotify:track:0OYcEfskah1egYHjYRvbg1,"Shadow of the Day","Minutes to Midnight","Linkin Park",2007-05-14,289906,71,false,droebiepoe,2026-02-16T09:45:00Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.529,0.376,11,-7.913,1,0.0288,0.00539,0.0195,0.107,0.0581,110.026,4
spotify:track:18lR4BzEs7e3qzc0KVkTpU,"What I've Done","Minutes to Midnight","Linkin Park",2007-05-14,205226,86,false,droebiepoe,2026-02-16T09:45:00Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.627,0.935,5,-4.882,1,0.0324,0.0092,0,0.147,0.287,120.092,4
spotify:track:0m7mTaFGMiKI3rBJpYknip,"Hands Held High","Minutes to Midnight","Linkin Park",2007-05-14,233133,57,true,droebiepoe,2026-02-16T09:45:00Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.564,0.601,9,-8.597,1,0.0331,0.324,0.0000508,0.195,0.132,104,4
spotify:track:4CWhc9FaMMfBTt4ANjfbOf,"No More Sorrow","Minutes to Midnight","Linkin Park",2007-05-14,221693,71,false,droebiepoe,2026-02-16T09:45:00Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.571,0.938,3,-4.206,0,0.0509,0.00333,0.00001,0.203,0.412,132.632,4
spotify:track:2vfshZvISOKy2Je7wQBWOV,"Valentine's Day","Minutes to Midnight","Linkin Park",2007-05-14,196840,59,false,droebiepoe,2026-02-16T09:45:00Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.646,0.662,0,-5.579,1,0.0283,0.0244,0.0376,0.241,0.4,108.043,4
spotify:track:2ysXuQd8uOfSMZcMRR5Ux4,"In Between","Minutes to Midnight","Linkin Park",2007-05-14,196746,53,false,droebiepoe,2026-02-16T09:45:00Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.405,0.516,10,-10.356,0,0.0409,0.359,0.00513,0.106,0.284,193.98,4
spotify:track:7jeI6EdY0elPSNz80mAKS8,"In Pieces","Minutes to Midnight","Linkin Park",2007-05-14,218013,64,false,droebiepoe,2026-02-16T09:45:00Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.511,0.885,8,-6.083,1,0.0411,0.00798,0.00000342,0.134,0.8,160.1,4
spotify:track:48QYP8a8gEqbtvjOTMSpiD,"The Little Things Give You Away","Minutes to Midnight","Linkin Park",2007-05-14,383506,55,false,droebiepoe,2026-02-16T09:45:00Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.566,0.479,7,-7.271,1,0.0288,0.0443,0.0000908,0.0562,0.113,140.036,3
spotify:track:0zraM3kiqKEEiTNyBVnlHt,"The Requiem","A Thousand Suns","Linkin Park",2010-09-08,121120,43,false,droebiepoe,2026-02-16T09:45:41Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.37,0.55,11,-11.393,0,0.304,0.838,0.264,0.674,0.031,170.097,4
spotify:track:2cJUZUddCR3gZdBoo4buym,"The Radiance","A Thousand Suns","Linkin Park",2010-09-08,57800,42,false,droebiepoe,2026-02-16T09:45:41Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.348,0.925,6,-10.886,0,0.546,0.573,0.000363,0.363,0.0381,87.71,4
spotify:track:5dhnFKVNR2x9BYqQ6FPpQh,"Burning in the Skies","A Thousand Suns","Linkin Park",2010-09-08,253160,57,false,droebiepoe,2026-02-16T09:45:41Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.607,0.891,9,-4.56,0,0.0387,0.0417,0.00521,0.314,0.462,120.012,3
spotify:track:1dxoNIDuvj8c7sWdHt39W4,"Empty Spaces","A Thousand Suns","Linkin Park",2010-09-08,18333,1,false,droebiepoe,2026-02-16T09:45:41Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.333,0.78,6,-16.711,0,0.0701,0.0174,0.9,0.878,0.038,80.293,5
spotify:track:1uaIJkuGvwSu7qWHOwCYbV,"When They Come for Me","A Thousand Suns","Linkin Park",2010-09-08,293453,52,true,droebiepoe,2026-02-16T09:45:41Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.547,0.936,1,-4.232,1,0.049,0.00306,0.27,0.278,0.445,91.997,4
spotify:track:0YSsNYXDK9ZQaSNEpx9VW4,"Robot Boy","A Thousand Suns","Linkin Park",2010-09-08,268986,48,false,droebiepoe,2026-02-16T09:45:41Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.58,0.784,7,-5.739,1,0.0289,0.0153,0.00912,0.142,0.214,129.993,4
spotify:track:7vIDRSAh5QN20sd7VpzsRq,"Jornada Del Muerto","A Thousand Suns","Linkin Park",2010-09-08,94906,42,false,droebiepoe,2026-02-16T09:45:41Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.336,0.854,9,-9.195,0,0.125,0.367,0.81,0.362,0.111,120.095,3
spotify:track:5JHNg1hxZFT7TDEphhM4wj,"Waiting for the End","A Thousand Suns","Linkin Park",2010-09-08,231680,71,false,droebiepoe,2026-02-16T09:45:41Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.487,0.961,4,-4.139,1,0.132,0.0415,0.00000115,0.553,0.323,170.005,4
spotify:track:7N2zw7Yp5XLbDV1twQrFe7,"Blackout","A Thousand Suns","Linkin Park",2010-09-08,279453,53,true,droebiepoe,2026-02-16T09:45:41Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.543,0.923,9,-3.992,1,0.0768,0.194,0.00446,0.43,0.366,134.997,4
spotify:track:5U4RjLvUsjYaKu1dKWzSsP,"Wretches and Kings","A Thousand Suns","Linkin Park",2010-09-08,250586,51,false,droebiepoe,2026-02-16T09:45:41Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.595,0.961,4,-4.342,0,0.153,0.00931,0.0000012,0.803,0.588,90.011,4
spotify:track:49vJBI1FecKnhZq5Ga62j5,"Wisdom, Justice, and Love","A Thousand Suns","Linkin Park",2010-09-08,98773,41,false,droebiepoe,2026-02-16T09:45:41Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.37,0.796,9,-13.52,0,0.43,0.981,0.647,0.43,0.0459,88.671,4
