TIME,27.7576,30.2811,32.8045,35.3279,37.8513,40.3748,42.8982,45.4216,47.945,50.4684,52.9919,55.5153,58.0387,60.5621,63.0856,65.609,68.1324,70.6558,73.1792,75.7027,78.2261,80.7495,83.2729,85.7964,88.3198,90.8432,93.3666,95.89,98.4135,100.937,103.46,105.984,108.507,111.031,113.554,116.077,118.601,121.124,123.648,126.171,128.695,131.218,133.741,136.265,138.788,141.312,143.835,146.358,148.882,151.405,153.929,156.452,158.976,161.499,164.022,166.546,169.069,171.593,174.116,176.64,179.163,181.686,184.21,186.733,189.257,191.78,194.304,196.827,199.35,201.874,204.397,206.921,209.444,211.967,214.491,217.014,219.538,222.061,224.585,227.108,229.631,232.155,234.678,237.202,239.725,242.249,244.772,247.295,249.819,252.342,254.866,257.389,259.912,262.436,264.959,267.483,270.006,272.53,275.053,277.576,280.1,282.623,285.147,287.67,290.194,292.717,295.24,297.764,300.287,302.811,305.334,307.858,310.381,312.904,315.428,317.951,320.475,322.998,325.521,328.045,330.568,333.092,335.615,338.139,340.662,343.185,345.709,348.232,350.756,353.279,355.803,358.326,360.849,363.373,365.896,368.42,370.943,373.466,375.99,378.513,381.037,383.56,386.084,388.607,391.13,393.654,396.177,398.701,401.224,403.748,406.271,408.794,411.318,413.841,416.365,418.888,421.411,423.935,426.458,428.982,431.505,434.029,436.552,439.075,441.599,444.122,446.646,449.169,451.693,454.216,456.739,459.263,461.786,464.31,466.833,469.357,471.88,474.403,476.927,479.45,481.974
0.000000000,134.312,110.803,59.7782,21.0989,11.6031,17.9496,40.9599,81.011,156.552,307.596,461.23,450.437,276.431,119.895,54.4178,20.194,17.6575,75.2193,131.73,123.102,91.6318,102.276,141.525,176.375,202.151,190.468,121.265,59.9272,82.0379,165.575,229.719,250.364,302.59,436.937,551.652,494.709,258.45,42.0789,111.894,477.586,875.955,1258.34,1778.98,2146.17,1839.85,1052.78,513.251,469.623,565.232,500.53,310.644,158.944,190.988,483.282,887.764,1056.29,858.962,563.588,385.491,234.581,66.0562,0.936515,74.1437,234.513,427.251,510.221,372.632,138.039,8.66396,20.781,75.9973,91.6796,68.3072,78.6625,221.202,495.67,700.823,624.285,331.422,81.9905,14.4745,59.8125,94.9245,67.7294,12.5847,16.4432,140.55,311.103,361.853,255.227,111.728,18.3629,9.24803,99.5047,214.866,327.505,567.7,896.278,982.314,699.163,334.022,171.988,220.718,341.969,408.604,357.295,310.005,599.898,1320.79,1949.47,1943.65,1488.45,1059.43,689.617,272.112,15.8714,112.98,416.552,638.516,615.941,414.635,231.991,161.881,144.205,115.614,88.1854,100.739,139.495,151.55,148.031,179.868,219.224,214.636,200.772,210.341,181.277,84.5221,11.2931,15.1627,37.2578,64.028,145.542,232.11,225.182,155.113,105.552,73.6054,35.495,8.28792,7.30965,40.4369,101.104,143.624,136.243,101.887,70.4263,44.7855,30.4512,54.2193,129.967,356.591,1101.28,2557.89,3935.06,3986.25,2657.15,1182.17,420.758,193.522,116.19,90.6509,102.658,106.097,85.7283,62.8034,48.2634,31.6652,15.7777,12.3944,13.2154,12.5485
1.486077098,313.848,237.216,83.353,17.4439,17.9139,12.9362,61.5517,110.907,192.299,461.354,813.006,838.9,429.102,115.803,85.4486,28.8243,15.2685,127.586,212.4,187.328,100.441,124.596,220.699,249.463,296.145,356.305,299.346,202.118,234.432,359.074,491.836,642.453,868.328,1148.33,1192.55,923.802,555.693,219.422,374.977,1079.06,1470.17,1685.07,2808.93,4092.46,3538.55,1580.72,495.342,708.873,1052.05,973.462,595.094,192.186,186.154,869.123,1821.97,2111.2,1448.15,703.466,569.061,494.174,152.253,24.2782,117.891,324.611,760.725,1018.15,731.251,256.044,26.828,48.0766,154.158,205.542,166.449,180.208,435.334,1049.43,1585.95,1355.79,646.365,173.939,61.9321,141.968,193.199,121.663,32.1273,38.1327,269.438,633.24,717.661,415.89,143.099,43.3935,27.1458,224.827,389.049,376.997,808.447,1681.41,1998.17,1348.73,469.559,155.954,375.859,668.515,777.931,619.704,326.089,728.261,2399.34,3872.37,3462.81,2119.64,1528.74,1325.84,654.413,124.836,302.785,768.574,1219.53,1397.15,1072.79,624.425,393.837,318.835,285.806,260.205,281.594,305.438,235.896,176.477,269.735,356.839,299.232,261.433,310.728,311.356,162.053,8.9984,35.0761,57.1691,53.4548,239.12,420.11,362.133,202.633,135.174,123.471,54.3162,4.50217,8.22764,46.0056,186.015,317.504,298.958,204.269,129.611,76.5962,31.8561,58.3978,205.721,443.831,1501.09,4646,8271.19,8289.07,4685.3,1566.34,526.645,277.718,128.243,114.801,160.384,177.666,167.398,147.774,116.067,55.1885,11.4046,20.6873,18.9481,10.3314
2.972154195,562.813,486.825,120.391,10.6886,46.8797,3.78529,118.518,102.254,216.109,612.059,1087.53,1358.73,675.673,47.488,168.124,68.0934,47.7281,175.286,244.816,301.001,78.562,148.018,327.612,247.876,394.595,551.239,503.189,446.234,540.497,646.195,704.803,1125.18,1920.62,2507.48,2026.91,1175.96,949.507,699.736,1025.24,1955.92,1965.48,1867.99,3628.93,6375.63,5937.58,2137.5,287.81,1069.44,1513.24,1438.82,1057.63,250.168,162.766,1472.66,2961.9,3329.83,2199.1,686.789,661.156,986.328,386.024,109.504,117.649,378.379,1228.86,1598.93,1148.24,455.13,79.9173,88.3517,210.919,379.265,371.468,306.359,570.292,1776.74,3111.16,2453.27,906.819,266.042,177.098,325.76,311.233,145.512,71.8449,102.765,467.874,984.305,1172.83,657.85,114.738,77.186,107.954,521.841,648.977,271.393,1087.04,2623.36,3158.59,2245.93,661.372,70.4423,649.282,1072.72,1077.8,953.368,326.814,710.206,3912.01,6423.26,5009.85,2493.48,1796.52,2040.39,1364.92,502.888,694.688,1042.87,1724.09,2651.33,2296.47,1219.67,599.838,511.124,598.693,574.438,525.584,495.003,349.923,147.244,349.696,557.564,304.042,302.155,411.651,380.98,297.885,57.5729,115.641,103.426,30.0015,411.051,593.647,464.047,262.775,113.017,192.722,105.545,0.607,17.7658,32.6327,338.769,593.189,479.506,309.581,213.375,107.596,25.446,56.3728,262.349,528.648,1599.59,6916.42,14579.6,14442.9,6733.36,1633.71,633.657,309.318,128.299,116.084,204.43,273.137,237.391,241.497,247.287,113.524,0.180571,53.4258,25.3528,10.7145
4.458231293,814.78,883.635,242.897,50.3293,137.54,41.8402,232.711,62.1956,253.442,697.935,1184.03,1899.89,1054.45,8.31835,344.95,213.27,165.233,201.519,218.758,479.54,67.19,209.705,449.764,170.078,490.12,727.312,650.658,744.537,1002.45,1014.35,756.477,1544.22,3479.24,4580.66,2918.34,1085.58,1397.13,1581.24,2115.92,2918.58,2178.48,1748.35,3961.84,8386.73,8654.92,2838.07,62.2417,1557.77,1757.5,1710.75,1693.43,427.046,258.297,2216.53,3977.21,4360,2955.38,597.542,666.851,1737.26,896.74,313.479,78.375,449.581,1760.55,2049.3,1508.98,724.483,182.215,127.135,227.992,571.024,696.805,473.889,517.473,2574.32,5363.21,3836.05,970.215,338.864,399.145,607.528,433.811,125.629,125.301,237.427,720.755,1223.37,1598.74,1008.31,70.2934,140.247,347.536,1080.03,997.502,94.3255,1405.14,3457.87,4117.06,3186.56,983.776,25.5098,1077.69,1472.3,1140.35,1309.05,395.029,716.739,5712.17,9043.59,6136.55,2472.23,1770.47,2611.83,2328.95,1266.44,1316.1,1123.42,1952.92,4313.38,4118.36,1940.53,663.122,683.287,1052.45,1004.34,758.33,638.12,482.784,85.3034,421.86,820.363,236.211,328.871,507.176,334.101,492.531,238.067,324.315,218.042,65.6955,648.592,700.467,481.631,334.574,54.3521,281.28,230.457,34.9983,56.8432,43.7785,588.762,922.809,616.999,384.578,301.734,137.118,13.1259,53.2404,273.551,591.056,1360.95,8811.76,22158.4,21567.5,8232.14,1391.99,688.12,293.371,108.284,100.495,213.465,387.739,271.696,296.34,449.857,252.616,25.959,141.139,55.8465,34.4869
5.944308390,1004.93,1374.7,517.933,204.711,326.864,190.116,418.955,40.508,329.277,668.5,1095.37,2303.08,1526.41,125.354,652.701,533.701,410.55,224.767,181.657,714.457,125.649,325.811,573.919,64.9206,584.579,834.382,666.078,1049.7,1524.46,1375.01,651.004,1765.89,5353.51,7150.71,3691.46,717.773,1824.53,2736.02,3497.63,3732.83,2002.5,1398.39,3665.84,9595.16,10956.8,3731.06,88.2651,2114.61,1701.53,1691.8,2405.01,813.482,580.359,2891.49,4532.85,4874.77,3474.94,573.249,680.324,2677.01,1719.42,675.904,70.4263,598.739,2210.65,2216.53,1684.65,999.12,344.752,151.516,198.115,776.455,1026.27,678.384,318.26,3283.94,8316.76,5311.3,786.22,422.512,657.55,921.51,586.434,62.7486,201.788,448.671,953.193,1259.01,1862.04,1431.51,103.819,277.351,802.674,1891.22,1444.01,0.00286341,1714.13,3890.2,4583.32,3858.39,1440.38,165.953,1637.59,1783.78,920.786,1625.6,624.255,974.959,7354.23,11033.4,6520.32,2052.34,1466.98,2839.03,3375.69,2320.99,2048.6,1037.63,1845.57,6142.75,6314.55,2631.69,564.083,803.258,1543.29,1478.81,906.771,667.024,618.749,42.778,516.357,1090.2,169.669,360.65,597.468,196.651,729.12,608.34,700.718,441.649,219.271,892.25,720.312,402.001,405.516,8.7179,399.824,454.73,158.786,157.7,141.829,913.67,1213.25,679.212,386.946,381.825,161.816,3.38477,37.4951,269.602,557.151,957.992,9755.85,29703.5,28165,8660.3,1018.75,621.199,276.009,69.5296,78.2394,197.972,503.388,258.491,297.945,700.848,499.827,146.379,300.257,145.517,106.555
7.430385488,1064.46,1858.11,966.805,507.507,601.223,456.201,668.654,108.728,459.459,518.134,899.639,2400.62,1996.94,485.508,1092.17,1001.64,760.704,297.613,200.25,994.526,281.292,468.541,676.467,7.81378,689.975,836.539,549.359,1278.9,1963.46,1621.54,454.007,1765.9,7157.36,9689.28,4217.74,288.398,2128.6,3884.01,4811.96,4164.07,1518.5,949.251,2854.84,9703.63,12084.9,4694.21,558.895,2645,1376.8,1450,2977.23,1415.47,1143.78,3275.48,4396.65,4742.91,3527.58,720.686,839.921,3636.28,2683.51,1169.23,183.764,866.932,2431.9,2030.66,1623.38,1179.65,537.748,171.016,139.188,976.286,1272.5,805.219,119.081,3786.54,11773.9,6701.26,446.191,502.428,808.382,1248.66,755.037,8.96468,297.637,673.759,1101.41,1079.77,1865.43,1867.72,288.987,513.14,1406.9,2804.91,1982.84,130.449,1915.93,3750.97,4428.6,3975.12,1971.78,582.919,2206,1925.43,542.582,1816.09,1086.09,1597.32,8279.67,11796,6114.3,1388.37,987.689,2683.09,4217.55,3384.13,2696.38,871.816,1541.87,7759.71,8408.44,3128.23,369.239,835.015,1951.11,1869.45,923.117,573.512,720.972,80.77,652.638,1288.94,176.183,419.857,691.925,57.3449,987.204,1121.82,1193.93,790.141,506.875,1056.57,655.551,255.499,463.09,36.1698,571.191,741.041,377.108,340.773,372.185,1258.22,1346.1,662.873,309.897,431.335,189.277,0.27928,17.318,260.251,430.497,575.491,9475.52,35614.3,32760.2,7810.4,684.255,468.233,283.349,52.9883,56.1449,196.128,565.493,224.38,243.308,961.441,855.976,382.732,503.676,299.552,240.618
8.916462585,970.485,2219.53,1510.84,906.662,906.931,790.35,926.448,301.545,627.326,318.97,690.374,2129.9,2343.81,1065.72,1558.77,1510.99,1154.19,431.032,322.943,1276.98,529.153,573.482,730.146,66.9517,808.826,731.952,364.534,1349.96,2189.32,1681.57,258.336,1610.3,8433.99,11546,4422.89,27.421,2243.16,4684.37,5627.96,4085.12,940.482,533.46,1838.7,8765.41,11606.3,5455.09,1463.94,2988.44,969.357,1099.01,3261.86,2066.45,1818.89,3249.07,3588.29,4043.06,3056.97,1037.45,1224.79,4338.44,3530.39,1675.87,450.336,1221.42,2359.64,1549.2,1359.67,1174.69,736.675,184.86,114.517,1053.33,1441.43,760.349,27.9376,4023.1,15463.1,7891.3,147.881,479.816,857.885,1474.44,906.784,21.4764,423.522,822.68,1112.21,758.326,1636,2208.22,619.984,810.903,2019.04,3571.37,2510.73,531.631,1935.86,3068.72,3734.68,3460.28,2448.35,1209.78,2600.14,1898.29,185.537,1835.31,1711.77,2495.28,8108.65,11097.3,5145.97,725.621,485.983,2265.72,4542.46,4131.3,3063.08,721.96,1262.47,8774.62,9846.78,3307.3,180.6,783.922,2156.11,2054.28,810.545,403.368,749.537,226.421,825.838,1342.6,276.744,529.32,781.902,23.2109,1206.44,1666.37,1673.23,1187.72,885.026,1086.18,524.452,103.18,503.055,178.029,770.344,1023.06,641.706,577.796,722.722,1544.11,1251.83,590.921,177.328,456.967,211.482,5.5256,5.98083,221.156,309.932,319.575,8073.16,38691.3,34407.6,5980.79,464.161,353.557,305.407,64.6683,72.7239,231.822,548.435,185.192,159.323,1199.77,1255.87,681.588,702.068,493.683,419.789
10.402539683,782.437,2333.99,2030.41,1266.77,1153.31,1105.72,1108.68,580.766,797.207,169.911,522.642,1597.67,2435.21,1732.41,1906.59,1879.56,1513.2,601.483,514.592,1502.71,836.065,566.007,731.759,271.59,894.168,574.661,175.098,1278.44,2082.22,1575.04,133.881,1405.32,8813.98,12257.4,4253.92,51.4642,2207.8,4805.61,5696.76,3530.18,485.33,231.908,964.512,7140.86,9637.89,5704.91,2559.89,3003.05,668.017,799.136,3174.61,2528.1,2391.45,2813.05,2405.96,3018.14,2204.88,1424.86,1764.96,4523.45,4020.94,2029.89,792.846,1591.97,2006.15,976.42,939.348,1028.28,833.496,233.026,150.6,990.806,1435.35,633.308,19.7768,4052.33,19060.7,8963.73,25.4571,314.339,874.175,1423.62,1059.32,148.542,540.229,828.23,992.63,418.397,1266.11,2370.26,996.179,1079.93,2465.8,3927.7,2890.4,1103.63,1722.52,2104.55,2731.66,2485.27,2727.77,1857.77,2638.22,1770.92,7.00084,1686.48,2282.01,3434.65,6793.1,9228.38,3976.86,263.006,135.281,1702.86,4298.44,4246.3,3056.63,655.611,1174.03,8896.8,10279.1,3099.79,87.2895,705.727,2063.98,1986.93,620.102,233.502,678.708,445.266,1004.82,1221.85,424.528,691.438,851.265,127.59,1333.3,2085.52,1980.07,1506.2,1246.99,985.222,355.526,10.9945,538.229,417.578,919.797,1230.95,882.622,775.801,1112.96,1725.35,933.007,507.361,57.9675,426.925,243.452,20.0518,2.46721,156.178,250.035,238.322,5986.69,38551.6,33204.8,3753.47,421.396,306.352,317.376,120.35,150.777,317.983,445.409,152.098,107.262,1357.4,1600.96,943.97,833.165,676.619,590.105
11.888616780,561.27,2172.91,2394.77,1419.47,1279.74,1295.11,1137.66,870.83,911.966,133.124,417.329,977.72,2253.07,2250.1,2020.74,1969.05,1721.02,782.143,677.96,1614.3,1135.68,432.858,691.397,574.258,899.626,418.117,60.2252,1075.6,1705.99,1304.54,139.772,1239.25,8133.48,11783.1,3679.11,329.842,2094.75,4122.71,5079.05,2650.31,255.223,81.3226,470.22,5223.55,6907.07,5198.1,3507.06,2622.83,571.188,694.461,2678.16,2669,2610.69,2137.67,1219.56,2001.4,1264.42,1705.7,2220.71,4191.95,3907.65,2176.71,1043.72,1851.05,1537.15,493.112,478.408,824.129,754.56,331.79,268.441,783.146,1262.74,511.823,29.0007,4079.81,22044.1,10230.8,93.7999,110.632,819.283,1150.8,1142.12,381.052,622.144,678.995,786.11,170.189,889.138,2305.54,1275.4,1221.77,2600.86,3754.19,2962.28,1674.13,1282.9,1209.13,1691.29,1381.44,2742.99,2266.76,2302.06,1578.27,72.8046,1418.51,2572.92,4048.62,4775.84,6741.51,3020.11,45.7791,3.17097,1139.66,3619.52,3637.87,2716.43,676.09,1271.25,8105.08,9626.6,2576.75,110.499,669.651,1651.58,1743.92,408.381,111.553,550.287,651.276,1096.3,1003.18,512.378,881.426,890.773,297.209,1360.75,2239.77,1976.47,1678.97,1410.73,840.978,173.009,21.8121,604.877,643.856,981.224,1290.48,1003.83,895.397,1366.49,1809.48,493.362,464.521,10.0587,330.742,277.624,51.4409,17.0726,82.1691,237.993,341.88,3863.54,35615.2,30149,1771.53,589.243,290.856,290.731,233.255,293.153,417.14,300.677,123.656,115.199,1403.13,1795.18,1055.21,869.828,768.613,710.602
