TIME,27.4658,30.2124,32.959,35.7056,38.4521,41.1987,43.9453,46.6919,49.4385,52.1851,54.9316,57.6782,60.4248,63.1714,65.918,68.6646,71.4111,74.1577,76.9043,79.6509,82.3975,85.144,87.8906,90.6372,93.3838,96.1304,98.877,101.624,104.37,107.117,109.863,112.61,115.356,118.103,120.85,123.596,126.343,129.089,131.836,134.583,137.329,140.076,142.822,145.569,148.315,151.062,153.809,156.555,159.302,162.048,164.795,167.542,170.288,173.035,175.781,178.528,181.274,184.021,186.768,189.514,192.261,195.007,197.754,200.5,203.247,205.994,208.74,211.487,214.233,216.98,219.727,222.473,225.22,227.966,230.713,233.459,236.206,238.953,241.699,244.446,247.192,249.939,252.686,255.432,258.179,260.925,263.672,266.418,269.165,271.912,274.658,277.405,280.151,282.898,285.645,288.391,291.138,293.884,296.631,299.377,302.124,304.871,307.617,310.364,313.11,315.857,318.604,321.35,324.097,326.843,329.59,332.336,335.083,337.83,340.576,343.323,346.069,348.816,351.562,354.309,357.056,359.802,362.549,365.295,368.042,370.789,373.535,376.282,379.028,381.775,384.521,387.268,390.015,392.761,395.508,398.254,401.001,403.748,406.494,409.241,411.987,414.734,417.48,420.227,422.974,425.72,428.467,431.213,433.96,436.707,439.453,442.2,444.946,447.693,450.439,453.186,455.933,458.679,461.426,464.172,466.919,469.666,472.412,475.159,477.905,480.652
0.000000000,7.52843,160.324,289.071,169.696,80.9389,213.324,510.741,747.769,645.16,532.99,857.332,1179.61,970.04,523.015,428.454,689.345,655.971,205.677,59.4044,227.62,145.216,104.241,398.114,593.813,504.367,350.219,503.893,1144.56,1571.93,1213.81,793.485,901.734,999.858,672.484,239.529,104.473,187.584,116.978,6.7554,142.259,232.056,109.444,79.6259,266.295,521.556,593.741,422.511,437.755,820.994,1055.62,838.232,510.822,571.364,985.724,985.023,429.605,240.123,451.114,299.609,160.409,567.275,850.376,599.741,401.715,673.609,1076.07,1009.31,552.434,350.673,481.255,552.741,428.82,202.808,121.551,270.816,300.076,95.9987,6.91181,74.0756,58.0186,37.8589,303.227,806.209,1004.92,846.808,1083.72,1604.17,1424.58,704.72,349.802,456.55,635.027,554.221,215.43,94.9115,202.226,97.0157,14.3919,253.899,411.683,276.472,224.367,552.72,972.021,929.244,565.225,530.382,752.643,710.474,412.54,167.524,186.593,337.27,250.454,43.3765,14.9602,32.1879,4.20427,16.6651,155.198,472.944,636.453,620.671,1214.93,2165.48,2090.62,1187.88,766.211,842.094,724.492,348.177,79.3265,98.7916,127.148,17.1278,65.2623,201.884,130.267,24.0621,59.4634,237.321,510.496,546.252,363.465,476.821,858.764,982.896,699.807,466.915,707.752,926.13,521.653,102.742,189.844,203.262,40.1623,174.811,403.16,400.899,263.935,243.974,630.164,1092.4,966.262,541.402,508.504
1.365333333,4.50696,233.529,457.605,296.387,158.431,292.258,688.729,1115.92,1123.17,1064.36,1501.02,1825.55,1483.82,938.694,830.385,1156.33,1105.55,457.513,222.273,459.048,327.818,274.809,662.751,828.912,687.016,611.563,929.854,1888.75,2601.58,2201.36,1571.02,1553.34,1512.84,1005.72,420.043,230.803,323.12,189.743,2.33437,224.73,363.849,201.73,161.413,374.535,696.408,908.463,787.474,831.03,1313.97,1583.85,1257.69,884.326,1056.21,1697.27,1714.97,932.726,647.62,933.1,680.191,471.1,1038.91,1414.03,1043.75,752.41,1087.42,1662.37,1619.2,983.472,660.944,741.884,735.158,580.213,357.854,269.213,446.115,448.572,137.802,6.30978,115.225,97.9212,87.5117,465.442,1238.43,1692.04,1682.94,2112.26,2767.21,2333.4,1214.76,640.151,669.146,873.073,860.025,437.913,255.466,375.814,194.604,67.1865,424.203,632.678,472,441.285,895.56,1487.33,1532.65,1101.65,1004.96,1166.38,998.548,591.111,305.442,350.215,550.858,369.753,44.5337,18.5997,44.2775,3.45171,17.2959,170.284,676.09,1124.66,1318.16,2311.94,3777.42,3655.53,2220.52,1442.51,1351.77,1062.29,526.977,183.249,204.372,215.89,21.2854,97.0391,310.519,214.609,54.7802,74.3438,287.733,741.331,897.812,716.487,875.103,1327.5,1452.75,1164.21,948.037,1306.07,1585.02,979.196,340.149,436.336,406.66,147.165,323.99,584.485,526.563,408.314,483.554,1087.02,1760.27,1620.61,1042.27,918.964
2.730666667,24.0253,298.23,626.55,448.088,224.864,336.668,804.426,1389.79,1623.83,1652.21,2138.81,2419.81,1853.95,1341.96,1326.1,1577.54,1509.79,866.745,541.928,732.645,543.365,527.128,956.923,963.676,780.111,856.107,1400.73,2608.76,3535.18,3298.37,2480.95,2125.91,1936.1,1297.69,577.721,387.337,479.732,266.906,34.3114,336.059,498.636,274.198,260.262,471.592,741.765,1215.87,1191.69,1207.42,1773.43,2022.03,1563.93,1225.34,1551.93,2454.86,2488.11,1524.63,1228.07,1603.05,1202.64,888.538,1559.68,2010.39,1455.82,1100.49,1472.19,2122.33,2214.19,1442.42,945.543,976.328,837.711,636.197,542.645,453.963,592.85,585.391,197.149,27.8862,160.435,136.767,139.27,628.567,1653.64,2289.47,2628.95,3368.62,3906.98,3161.07,1776.62,914.419,802.469,1031.38,1102.06,738.171,499.948,549.135,329.113,197.77,637.567,786.561,659.451,693.093,1194.16,1923.01,2096.02,1697.49,1548.09,1491.76,1181.42,741.358,413.202,527.656,798.263,463.895,57.3619,28.0429,61.1348,4.34428,14.6098,171.739,814.717,1671.56,2175.25,3485.52,5472.52,5365.31,3306.57,2129.38,1825.34,1310.38,675.229,310.385,332.307,331.499,55.7972,147,389.744,326.476,103.289,63.3404,326.131,917.631,1215.08,1138.89,1278.75,1708.32,1832.84,1547.08,1501.26,2004.48,2208.63,1505.63,752.744,793.817,653.076,319.415,502.972,717.894,592.023,501.52,748.416,1617.98,2349.4,2209.89,1657.37,1335.74
4.096000000,70.0431,314.957,759.632,610.128,239.626,341.899,820.437,1453.9,2033.68,2105.96,2530.02,2820.29,1943.18,1565.93,1829.15,1808.54,1689.52,1399.01,1016.59,947.02,702.615,839.271,1205.94,921.913,780.106,969.1,1781.3,3131.28,3992.47,4204.35,3327.64,2362.64,2142.37,1491.37,621.14,543.306,638.372,308.768,95.6056,473.846,625.119,274.565,359.244,548.625,610.321,1482.85,1514.43,1385.23,2118.61,2206.28,1627.23,1462.85,1842.02,3048.67,3154.9,1956.17,1813.82,2399.03,1757.53,1224.42,2003.18,2524.47,1644.03,1342.45,1730.14,2242.13,2654.43,1810.11,1067.3,1132.56,831.539,565.813,728.54,617.347,644.779,688.348,263.47,65.5367,194.631,175.099,163.479,745.662,1976.45,2547.32,3384.01,4608.94,4625.99,3589.92,2300.43,1058.22,797.801,1090.23,1145.38,1070.92,808.67,635.266,456.289,428.024,861.855,780.652,802.631,914.156,1302.72,2184.71,2430.61,2125.84,2050.42,1616.24,1168.19,852.88,424.131,671.865,1057.05,490.668,74.7936,51.4581,91.1625,5.89717,9.43892,166.865,820.287,2182.99,2963.69,4284.42,6808.02,6788.25,4049.05,2609.71,2138.77,1356.51,756.171,424.084,430.443,455.576,140.676,206.278,394.792,450.779,179.911,28.484,371.583,964.933,1378.63,1558.5,1531.09,1850.58,2051.5,1660.26,1969.94,2672.35,2539.92,1936.34,1315.62,1189.92,842.003,521.802,690.51,729.187,588.807,506.164,934.725,2137.55,2662.38,2481.82,2282.12,1631.08
5.461333333,131.175,273.796,825.38,749.961,198.515,315.683,724.146,1293.94,2224.39,2261.94,2532.17,2899.83,1729.13,1525.81,2197.75,1775.77,1572.54,1929.08,1557.27,1032.4,737.214,1140.88,1334.79,721.913,686.198,905.095,1954.81,3281.79,3799.43,4620.23,3870.24,2164.77,2068.48,1538.78,529.461,656.884,761.291,300.445,163.357,621.486,720.322,204.109,439.808,590.899,373.846,1650.75,1659.11,1286.15,2252.6,2080.54,1419.11,1519.49,1806.73,3298.65,3529.61,2051.67,2212.53,3148.25,2194.09,1330.62,2245.39,2813.41,1534.91,1396.76,1773.46,1973.35,2807.31,1977.86,973.478,1165.04,730.914,406.149,862.738,707.442,579.581,728.119,324.847,101.628,208.757,204.39,146.404,795.964,2115.5,2356.6,3706.94,5466.92,4681.96,3447.8,2639.21,1035.17,661.513,1034.42,968.594,1349.3,1112.08,600.464,531.194,730.747,1037.61,619.329,859.764,1031.7,1175.87,2194.77,2419.67,2223.82,2361.73,1507.7,962.785,900.024,333.523,754.065,1266.17,457.167,81.4161,96.4989,137.756,13.0459,11.4884,150.262,705.449,2531.98,3426.94,4384.11,7396.89,7463.43,4193.09,2699.48,2196.1,1184.6,739.4,485.523,460.001,556.652,271.878,253.853,325.191,555.89,283.358,2.00087,424.957,863.205,1333.65,1857.25,1535.22,1706,2043.64,1455.47,2207.77,3120.49,2452.2,2117.28,1898.55,1517.53,899.108,690.909,835.212,614.592,517.218,420.978,986.466,2508.28,2594.9,2327.15,2746.19,1717.63
6.826666667,188.319,191.024,812.465,838.832,126.155,270.222,549.775,971.325,2143.23,2056.15,2152.22,2627.68,1307.01,1245.57,2317.23,1505.5,1213.22,2304.23,2017.32,967.866,637.555,1338.46,1317.76,439.914,531.163,692.341,1867.67,3004.11,3030.18,4407.65,3944.6,1621.3,1743.98,1437.34,344.365,698.099,815.475,249.555,209.17,754.442,761.02,105.926,480.154,605.794,150.691,1699.78,1565.46,972.068,2114.57,1727.52,1010.02,1385.46,1454.23,3142.31,3473.4,1799.73,2260.62,3698.95,2345.62,1183.6,2187.95,2811.66,1172.32,1269.94,1569.72,1448.97,2593.23,1922.07,691.995,1084.94,572.56,235.956,895.511,705.247,419.102,697.634,361.191,119.458,199.241,216.805,96.4862,776.834,2029.19,1789.22,3514.43,5656.25,4071.31,2783.82,2683.23,884.219,461.798,877.484,655.326,1483.17,1329.74,466.553,532.618,1032.55,1113.75,377.342,817.793,1007.2,866.007,1953.02,2072.58,1950.53,2385.98,1217.89,651.66,866.779,191.288,769.614,1370.79,389.218,70.0144,155.705,206.857,33.5101,30.4619,112.684,542.129,2594.01,3454.87,3687.68,7138.55,7087.1,3748.35,2319.29,2018.91,841.104,646.103,458.398,422.269,591.332,421.031,278.167,210.704,616.694,390.268,18.1007,480.882,645.175,1115.51,1934.2,1297.62,1332.83,1815.03,1020.88,2146.31,3211.76,1981.48,1990.47,2318.22,1678.58,804.459,762.64,901.377,416.124,403.628,281.142,898.853,2618.73,2186.77,1816.49,2904.07,1588.24
8.192000000,222.247,91.3532,763.963,832.708,70.1719,222.413,343.277,614.183,1822.64,1555.79,1557.74,2063.58,845.658,862.259,2119.77,1131.38,761.147,2398.84,2253.33,795.578,467.867,1332.18,1203.03,167.153,368.519,435.35,1509.46,2439.9,1942.05,3656.59,3545.55,942.282,1300.84,1208.8,147.719,681.475,764.579,190.012,208.71,853.664,732.062,31.0682,482.008,587.087,54.6479,1655.89,1240.51,594.151,1739.25,1285.42,584.52,1078.69,938.711,2660.67,2954.32,1358.93,1898.45,3997.79,2106.26,891.296,1806.13,2559.45,715.614,993.843,1231.41,851.665,2070.57,1686.43,329.398,957.569,399.633,107.087,839.443,605.497,231.438,612.554,349.6,116.935,161.025,220.283,37.2761,689.634,1762.53,1043.54,2937.32,5079.38,3036.36,1868.98,2368.72,720.545,289.354,653.473,353.509,1400.69,1433.62,284.329,469.086,1235.8,1084.08,159.385,676.171,877.375,489.054,1529.12,1531.41,1393.55,2135.51,857.46,346.483,762.894,72.9596,717.399,1373.7,299.57,48.0984,206.344,305.001,73.8385,60.6501,70.7656,388.629,2342.37,3083.86,2423.57,6245.35,5674.78,2955.36,1592.76,1664.63,479.481,479.907,369.26,331.537,541.064,537.557,287.077,109.941,598.23,478.28,95.15,509.82,402.354,812.075,1758.92,927.59,849.865,1459.02,532.884,1801.81,2949.21,1294.05,1622.47,2421.22,1632.95,599.027,699.247,886.738,200.647,296.145,139.118,689.073,2487.82,1557.2,1178.3,2692.51,1315.78
9.557333333,229.81,11.0147,786.296,662.713,73.0758,223.907,131.922,337.47,1391.77,914.891,1027.69,1293.66,536.004,577.295,1574.58,849.184,390.045,2208.46,2120.87,657.913,334.522,1058.62,1079.09,7.95449,254.405,272.013,914.515,1868.58,894.806,2570.56,2868.3,358.631,919.424,861.956,38.3716,685.424,565.748,172.061,160.851,953.556,577.686,25.4276,512.306,492.047,97.1596,1611.44,770.28,317.639,1224.21,950.978,330.487,625.38,478.569,2039.79,2112.85,941.423,1193.4,4194.78,1468.65,633.405,1203.97,2198.33,326.453,594.159,963.805,381.096,1387.47,1370.82,53.0198,874.381,226.083,41.3515,778.117,401.088,75.7076,552.619,255.65,122.432,82.6796,256.095,6.46795,511.433,1451.46,356.755,2274.68,3814.6,2007.58,1054.35,1692.39,675.584,245.539,420.254,181.233,1085.59,1493.72,107.949,341.721,1299.82,995.075,37.4176,442.787,749.835,195.715,991.959,1032.93,712.44,1754.83,516.355,111.753,676.801,16.3077,567.13,1358.34,195.148,32.2137,217.078,472.497,135.753,65.467,52.4697,290.159,1868.92,2430.38,1047.84,5195.37,3545.87,2201.3,795.469,1225.31,236.419,254.155,292.126,237.317,408.892,585.391,327.812,91.4732,446.704,568.249,245.75,427.386,252.548,545.591,1382.91,578.778,377.546,1140.77,167.107,1223.83,2528.36,588.187,1190.7,2107.81,1481.24,334.837,516.23,811.703,60.1523,249.119,39.9756,387.264,2280.42,863.686,628.872,2206.74,1018
10.922666667,220.956,35.9936,882.585,419.945,120.992,296.998,17.3508,150.804,1016.67,407.744,649.637,589.45,439.228,473.966,898.452,681.29,277.449,1808.07,1644.97,660.167,323.602,633.455,964.964,100.168,232.176,244.44,347.611,1407.75,251.774,1455.97,2091.54,137.506,636.256,484.482,98.9239,718.919,315.678,187.362,144.91,1045.17,340.369,105.022,598.537,353.604,207.908,1600.82,391.714,151.538,784.627,857.873,276.327,223.282,171.068,1470.96,1299.04,596.327,534.024,4325.64,766.621,451.808,697.742,1819.86,87.1248,249.706,813.317,230.023,758.622,1029.63,87.4881,846.986,85.1668,82.9175,745.003,169.26,9.02918,548.777,140.801,140.325,20.656,328.698,59.0754,277.516,1162.89,33.9455,1656.55,2299.27,1311.11,536.758,912.619,727.129,410.508,302.119,114.023,719.164,1533.82,17.2933,184.804,1243.51,915.369,1.10493,231.626,664.637,102.306,501.857,655.047,208.567,1364.28,245.497,29.6464,639.276,31.9848,373.675,1337.64,145.645,25.4406,211.327,703.614,240.325,40.1698,51.4276,300.969,1315.22,1649.85,154.075,4261.28,1507.42,1648.47,285.119,849.867,101.209,88.4607,269.15,201.88,259.303,572.608,450.915,171.526,236.805,642.467,468.725,248.533,207.26,463.011,936.675,317.218,114.949,918.889,20.122,630.467,2039.14,158.694,795.426,1496.48,1318.2,110.022,291.622,702.562,108.992,267.33,22.2823,143.565,2056.9,367.007,252.965,1630.49,840.454
